Beverage_category;Beverage;Beverage_prep;Calories; Total Fat (g);Trans Fat (g) ;Saturated Fat (g); Sodium (mg); Total Carbohydrates (g) ;Cholesterol (mg); Sugars (g); Protein (g) ;Caffeine (mg)
Coffee;Brewed Coffee;Short;3,00;0.1;0;0;0;5,00;0;0;0.3;175
Coffee;Brewed Coffee;Tall;4,00;0.1;0;0;0;10,00;0;0;0.5;260
Coffee;Brewed Coffee;Grande;5,00;0.1;0;0;0;10,00;0;0;1;330
Coffee;Brewed Coffee;Venti;5,00;0.1;0;0;0;10,00;0;0;1;410
Classic Espresso Drinks;Caff? Latte;Short Nonfat Milk;70,00;0.1;0.1;0;5;75,00;10;9;6;75
Classic Espresso Drinks;Caff? Latte;2% Milk;100,00;3.5;2;0.1;15;85,00;10;9;6;75
Classic Espresso Drinks;Caff? Latte;Soymilk;70,00;2.5;0.4;0;0;65,00;6;4;5;75
Classic Espresso Drinks;Caff? Latte;Tall Nonfat Milk;100,00;0.2;0.2;0;5;120,00;15;14;10;75
Classic Espresso Drinks;Caff? Latte;2% Milk;150,00;6;3;0.2;25;135,00;15;14;10;75
Classic Espresso Drinks;Caff? Latte;Soymilk;110,00;4.5;0.5;0;0;105,00;10;6;8;75
Classic Espresso Drinks;Caff? Latte;Grande Nonfat Milk;130,00;0.3;0.2;0;5;150,00;19;18;13;150
Classic Espresso Drinks;Caff? Latte;2% Milk;190,00;7;3.5;0.2;30;170,00;19;17;12;150
Classic Espresso Drinks;Caff? Latte;Soymilk;150,00;5;0.5;0;0;130,00;13;8;10;150
Classic Espresso Drinks;Caff? Latte;Venti Nonfat Milk;170,00;0.4;0.3;0;10;190,00;25;23;16;150
Classic Espresso Drinks;Caff? Latte;2% Milk;240,00;9;4.5;0.3;35;220,00;24;22;16;150
Classic Espresso Drinks;Caff? Latte;Soymilk;190,00;7;1;0;0;170,00;16;11;13;150
Classic Espresso Drinks;Caff? Mocha (Without Whipped Cream);Short Nonfat Milk;110,00;1.5;1;0;5;60,00;21;17;7;85
Classic Espresso Drinks;Caff? Mocha (Without Whipped Cream);2% Milk;130,00;4;2;0.1;10;70,00;21;17;6;85
Classic Espresso Drinks;Caff? Mocha (Without Whipped Cream);Soymilk;110,00;3.5;1;0;0;55,00;19;13;6;85
